,name,street,city,state,zip,contact,lat,lng
387,"Natural Family Planning & Fertility
Center - Corpus Christi S. Padre Site","4455 South Padre Island
Drive, Suite 28",Corpus Christi,TX,78411,(361) 883-0619 http://stfphc.org/ ,27.7161723,-97.3909443
388,"Natural Family Planning & Fertility
Center - Laredo",1407 Calle Del Norte #108,Laredo,TX,78041,(956) 722-7017 http://stfphc.org/ ,27.5559277,-99.4818117
389,"Natural Family Planning & Fertility
Center - Weslaco",511 W. 6th St.,Weslaco,TX,78596,(956) 969-3079 http://stfphc.org/ ,26.1553201,-97.9948555
390,"Natural Family Planning & Fertility
Center - Corpus Christi",1919 Leopard Street,Corpus Christi,TX,78408,(361) 887-0151 http://stfphc.org/ ,27.7962102,-97.4116543
391,"San Marcos Community Health
Services",611 W. MLK,San Marcos,TX,78666,(512) 392-5816 http://communityaction.com/ ,29.878521,-97.9450913
392,Health Services of North Texas,"3537 South I-35 E, Suite 210",Denton,TX,76210,(940) 381-1501 http://www.healthntx.org/#!contact-us/c21dk ,33.1769412,-97.0910647
393,Haven Health Clinics,1 Medical Drive,Amarillo,TX,79106,(806) 322-3599 http://www.havenhealthamarillo.com ,35.2068242,-101.8969473
394,Naftzger Clinic,3612 Pera,El Paso,TX,79905,"http://www.projectvidaelpaso.org/community_program_main.html 
(915) 533-7057 ",31.7720428,-106.4502956
395,North East Family Practice,4875 Maxwell,El Paso,TX,79904,(915) 533-7057 http://www.pvida.net/clinics ,31.867292,-106.4287628
396,Montana Vista Clinic,14900 Greg Drive,El Paso,TX,79938,(915) 533-7057 http://www.pvida.net/clinics ,31.7975525,-106.1608524
397,Ft. Hancock Clinic,561 S. Knox Avenue,Ft. Hancock,TX,79839,"http://www.projectvidaelpaso.org/community_program_main.html 
(915) 769-1079 ",31.2914375,-105.8529981
398,Project Vida - La Clinica Guadalupana,901 Asension,El Paso,TX,79928,(915) 533-7057 ,31.7202937,-106.1649335
399,"Jasper Newton County Public Health
District - Jasper Site",139 West Lamar Street,Jasper,TX,75951,(409) 384-6829 http://www.jaspernewton.org/ ,30.9216065,-94.0013578
400,"Jasper Newton County Public Health
District - Newton Site",210 High Street,Newton,TX,75966,(409) 379-5291 http://www.jaspernewton.org/ ,30.8493828,-93.7595847
401,"Jasper Newton County Public Health
District - Kirbyville Site",1503 West Margaret Avenue,Kirbyville,TX,75956,(409) 423-6133 http://www.jaspernewton.org/ ,30.6476181,-93.8974211
402,"Access Esperanza Clinics Inc. -
Mission Health Clinic",1201 Conway,Mission,TX,78572,(956) 585-4575 http://www.accessclinics.org ,26.2180998,-98.3257625
403,"Access Esperanza Clinics, Inc. -
Edinburg Health Center",302 S. Veterans Blvd.,Edinburg,TX,78539,(956) 383-5084 http://www.accessclinics.org ,26.2979834,-98.1547248
404,"Access Esperanza Clinics, Inc. - San
Juan Health Center",509 E. Earling Rd.,San Juan,TX,78589,(956) 283-1711 http://www.accessclinics.org ,26.2272675,-98.1413805
405,"Access Esperanza Clinics Inc. -
Weslaco Health Center",901 S. James St.,Weslaco,TX,78596,(956) 968-5039 http://www.accessclinics.org ,26.1512144,-97.9760175
406,"Access Esperanza Clinics, Inc. -
McAllen Health Center",916 E. Hackberry Ave. STE B,McAllen,TX,78501,(956) 688-3700 http://www.accessclinics.org/ ,26.2074632,-98.2085679
407,People's Center for Women's Health,2909 N. IH 35,Austin,TX,78722,(512) 478-4939 http://www.austinpcc.org ,30.2874814,-97.7232111
408,"People's Community Clinic - Offsite
Clinic at Austin Children's Shelter",4800 Manor Rd.,Austin,TX,78722,(512) 478-4939 http://www.austinpcc.org ,30.2959793,-97.6905935
409,"People's Community Clinic North -
Camino",1101 Camino la Costa,Austin,TX,78752,"https://www.austinpcc.org/contact-us/main-clinic-hours-and-locations-1/ 
(512) 478-4939 ",30.32414,-97.6993963
410,"People's Community Clinic at Manor
Mustang Health Center","10323 U.S. Hwy. 290 East
Bldg. 35",Manor,TX,78653,(512) 478-4939 ,30.3446775,-97.5734103
411,Midway Family Planning Clinic,"1500 Terrace, Suite 35",Brownwood,TX,76801,(325) 646-8429 ,31.726562,-99.0002669
412,"Deharo Saldivar Women's Health
Center",1400 N. Westmoreland Road,Dallas,TX,75211,(214) 266-0580 http://phhs.org/ ,32.7648003,-96.8712509
413,"Hatcher Station Women's Health
Center",4600 Scyene Road,Dallas,TX,75210,(214) 266-1200 http://phhs.org/ ,32.7671188,-96.7413337
414,Garland Women's Health Center,802 Hopkins,Garland,TX,75040,(214) 266-0780 http://phhs.org/ ,32.9059157,-96.6281147
415,Lakewest Women's Health Center,3737 Goldman Ave,Dallas,TX,75212,(214) 266-0900 http://phhs.org/ ,32.7866096,-96.858713
416,Maple Women's Health Center,"6300 Harry Hines Blvd Suite
600",Dallas,TX,75235,(214) 266-0130 http://phhs.org/ ,32.8223808,-96.8474971
417,Oak West Women's Health Center,4201 Brook Spring Drive,Dallas,TX,75224,(214) 266-1400 http://phhs.org/ ,32.6924844,-96.8436846
418,"Southeast Dallas Women's Health
Center",9202 Elam Road,Dallas,TX,75217,(214) 266-1500 http://phhs.org/ ,32.7180079,-96.6625496
419,"E. Carlyle Smith Jr. Womenâ€TMs
Health Center at Grand Prairie",801 Conover Dr.,Grand Prairie,TX,75051,(214) 266-3500 http://phhs.org/ ,32.7374505,-97.016005
420,Irving Women's Health Center,1800 N. Britain Rd.,Irving,TX,75061,(214) 266-3200 http://phhs.org/ ,32.8336307,-96.9431388
421,WISH Tubal Clinic,5200 Harry Hines Blvd.,Dallas,TX,75235,(469) 419-1341 http://phhs.org/ ,32.8128222,-96.8356763
422,Wilson Family Planning Clinic,"1301 Third Street, Suite 100",Wichita Falls,TX,76301,(940) 723-0755 http://www.wfplanning.org/ ,33.9130005,-98.5021267
423,Houston Area Community Services,"2150 W. 18th St., Suite 300",Houston,TX,77008,(713) 426-0027 http://www.hacstxs.org ,29.8013326,-95.4370809
424,HACS - Spring Cypress,17010 Sugar Pine Drive,Houston,TX,77090,(281) 537-8627 http://hacstxs.org/locations/hacs-spring-cypress/ ,30.0107649,-95.4595772
425,HACS Bautista Pediatric Clinic,"902 Frostwood Dr., Suite 142",Houston,TX,77024,(713) 827-8266 http://hacstxs.org/locations/hacs-bautista ,29.7801513,-95.5468601
426,"Longview Wellness Pointe Clinic -
Bldg. 1","1107 E. Marshall Ave. - Bldg.
1",Longview,TX,75601,(903) 758-2610 http://www.wellnesspointe.org/ ,32.5038849,-94.7246001
427,Kilgore Wellness Pointe Clinic,"1711 S. Henderson Blvd.,
Suite 400",Kilgore,TX,75662,(903) 758-2610 http://www.wellnesspointe.org/ ,32.3727541,-94.8697042
428,Gilmer Wellness Pointe Clinic,602 Titus Street,Gilmer,TX,75644,(903) 758-2610 http://www.wellnesspointe.org/ ,32.7342045,-94.9447498
429,Wellness Pointe South Longview,2430 S. High Street,Longview,TX,75602,(903) 758-2610 http://www.wellnesspointe.org/ ,32.4618045,-94.7321816
430,Longview North Clinic,805 Medical Circle Suite A,Longview,TX,75605,(903) 758-2610 ,32.5351139,-94.7297536
431,"Longview Wellness Pointe Clinic -
Bldg. 3","1107 E. Marshall Ave. - Bldg.
3",Longview,TX,75601,(903) 758-2610 http://www.wellnesspointe.org ,32.5038849,-94.7246001
432,"South Plains Public Health District -
Denver City",415 Mustang Ave.,Denver City,TX,79323,(806) 592-2706 ,32.9688362,-102.8368349
433,"South Plains Public Health District -
Terry County",919 E. Main,Brownfield,TX,79316,(806) 637-2164 ,33.1795746,-102.265204
434,"South Plains Public Health District -
Dawson County",503 South 1st,Lamesa,TX,79331,(806) 872-5863 ,32.7315492,-101.9529058
435,"South Plains Public Health District -
Gaines County",704 Hobbs Highway,Seminole,TX,79360,(432) 758-4022 ,32.7203429,-102.6532158
436,"El Buen Samaritano - Wallace
Mallory Clinic",7000 Woodhue Dr.,Austin,TX,78745,(512) 439-0701 http://www.elbuen.org/health/clinic/ ,30.1992941,-97.8021703
437,Harris County Antoine Health Clinic,"5818 Antoine Dr., Suite A",Houston,TX,77091,"http://publichealth.harriscountytx.gov/Services-Programs/Services/HWC 
(713) 212-6800 ",29.849295,-95.4732379
438,Harris County Baytown Health Clinic,1000 Lee Drive,Baytown,TX,77520,"http://publichealth.harriscountytx.gov/Services-Programs/Services/HWC 
(713) 212-6800 ",29.7266265,-94.9778721
439,Harris County Humble Health Clinic,1730 Humble Place Dr.,Humble,TX,77338,"http://publichealth.harriscountytx.gov/Services-Programs/Services/HWC 
(713) 212-6800 ",29.9950967,-95.2482454
440,Harris County Southeast Health Clinic 3737 Red Bluff,,Pasadena,TX,77503,"http://publichealth.harriscountytx.gov/Services-Programs/Services/HWC 
(713) 212-6800 ",29.7514932,-95.4516544
441,Harris County Public Health,2223 West Loop South,Houston,TX,77027,(713) 439-6184 ,29.7440065,-95.4565881
442,Tyler Family Circle of Care,928 N Glenwood,Tyler,TX,75702,(903) 535-9041 http://tfcc.tmfhs.info/ ,32.3605173,-95.3201715
443,Jacksonville Family Circle of Care,510 East Commerce St.,Jacksonville,TX,75766,(903) 241-2700 http://tfcc.tmfhs.info/ ,31.9653713,-95.2697089
444,Family Circle of Care - Athens,1001 N Palestine St,Austin,TX,75751,(903) 904-5084 http://tfcc.tmfhs.info/index.html ,32.2179788,-95.8533495
445,"Family Circle of Care â€“ Broadway
Ave.",2990 North Broadway Avenue Tyler,,TX,75702,(903) 535-9041 ,32.3790515,-95.3030549
